"","InversionID","Chrom","windowID_StartBreakpoint","window_StartLowerCI","window_StartUpperCI","windowID_EndBreakpoint","window_EndLowerCI","window_EndUpperCI","SVType","n_ind_startWindows","n_ind_endWindows","n_ind_invID","n_method_startWindows","n_method_endWindows","invSizeMax","invSizeMin"
"1","10018-9836","NC_044061.1","10018",14006409,14016912,"9836",17479131,17504076,"INV",40,42,40,3,3,3497667,3462219
"2","1005-906","NC_044049.1","1005",5718166,5731106,"906",5693217,5731129,"INV",188,222,188,3,3,12963,-37889
"3","10055-9789","NC_044061.1","10055",15263961,15275172,"9789",15723509,15736998,"INV",43,38,37,3,3,473037,448337
"4","10056-9782","NC_044061.1","10056",15314428,15336098,"9782",15503450,15516376,"INV",32,19,19,3,3,201948,167352
"5","10075-9808","NC_044061.1","10075",16180450,16199681,"9808",16180689,16199554,"INV",216,215,215,3,3,19104,-18992
"6","10078-9843","NC_044061.1","10078",16284933,16307060,"9843",17792662,17803250,"INV",26,23,23,3,3,1518317,1485602
"7","10079-9846","NC_044061.1","10079",16309501,16327755,"9846",17854766,17865755,"INV",286,286,286,3,3,1556254,1527011
"8","10086-9822","NC_044061.1","10086",16617707,16628228,"9822",16634288,16659250,"INV",250,250,250,3,3,41543,6060
"9","10092-9828","NC_044061.1","10092",16900299,16919121,"9828",16927112,16953362,"INV",64,65,64,3,3,53063,7991
"10","10097-9832","NC_044061.1","10097",17158921,17181260,"9832",17187557,17215010,"INV",24,34,22,3,3,56089,6297
"11","10132-9878","NC_044061.1","10132",18782087,18794526,"9878",18998452,19024800,"INV",52,54,52,3,3,242713,203926
"12","10146-9892","NC_044061.1","10146",19563607,19577592,"9892",19564181,19579385,"INV",39,38,38,3,3,15778,-13411
"13","1015-927","NC_044049.1","1015",5984104,6013278,"927",6538540,6557127,"INV",58,92,25,3,3,573023,525262
"14","1015-931","NC_044049.1","1015",5984104,6013278,"931",6641314,6660390,"INV",58,30,18,3,3,676286,628036
"15","10152-9902","NC_044061.1","10152",19825353,19851613,"9902",19835090,19853485,"INV",112,112,110,3,3,28132,-16523
"16","10172-9924","NC_044061.1","10172",20620063,20659238,"9924",20645212,20671426,"INV",69,68,65,3,3,51363,-14026
"17","10176-9964","NC_044061.1","10176",20907055,20932031,"9964",22163902,22184124,"INV",92,91,91,3,3,1277069,1231871
"18","1018-1208","NC_044049.1","1018",6060181,6070668,"1208",19138605,19149093,"INV",76,75,75,3,3,13088912,13067937
"19","10241-10018","NC_044061.1","10241",23774636,23785549,"10018",23782309,23795244,"INV",33,34,33,3,3,20608,-3240
"20","1025-921","NC_044049.1","1025",6330059,6346161,"921",6330266,6342984,"INV",86,33,30,3,3,12925,-15895
"21","1025-927","NC_044049.1","1025",6330059,6346161,"927",6538540,6557127,"INV",86,92,57,3,3,227068,192379
"22","10302-10124","NC_044061.1","10302",26887145,26897597,"10124",27251316,27266665,"INV",84,85,84,3,3,379520,353719
"23","10304-10114","NC_044061.1","10304",26920916,26932774,"10114",26943712,26954250,"INV",106,101,101,3,3,33334,10938
"24","10327-10164","NC_044061.1","10327",28486138,28496626,"10164",28475598,28497604,"INV",34,35,34,3,3,11466,-21028
"25","10335-10185","NC_044062.1","10335",35136,63138,"10185",52983,63475,"INV",141,136,136,3,3,28339,-10155
"26","10340-10189","NC_044062.1","10340",180418,194137,"10189",185262,195921,"INV",29,28,28,3,3,15503,-8875
"27","10354-10197","NC_044062.1","10354",872289,905497,"10197",888877,905440,"INV",275,264,264,3,3,33151,-16620
"28","10354-10228","NC_044062.1","10354",872289,905497,"10228",2757044,2830748,"INV",275,233,44,3,3,1958459,1851547
"29","10354-10230","NC_044062.1","10354",872289,905497,"10230",2872082,2913501,"INV",275,179,52,3,3,2041212,1966585
"30","10356-10199","NC_044062.1","10356",965971,995213,"10199",955941,976066,"INV",74,71,69,3,3,10095,-39272
"31","10378-10215","NC_044062.1","10378",1708721,1777415,"10215",1806165,1817970,"INV",285,82,82,3,3,109249,28750
"32","10378-10225","NC_044062.1","10378",1708721,1777415,"10225",2629719,2699058,"INV",285,213,210,3,3,990337,852304
"33","10378-10228","NC_044062.1","10378",1708721,1777415,"10228",2757044,2830748,"INV",285,233,159,3,3,1122027,979629
"34","10378-10229","NC_044062.1","10378",1708721,1777415,"10229",2835592,2865378,"INV",285,160,154,3,3,1156657,1058177
"35","10378-10230","NC_044062.1","10378",1708721,1777415,"10230",2872082,2913501,"INV",285,179,75,3,3,1204780,1094667
"36","10378-10231","NC_044062.1","10378",1708721,1777415,"10231",2927738,2992604,"INV",285,205,159,3,3,1283883,1150323
"37","10378-10232","NC_044062.1","10378",1708721,1777415,"10232",2994562,3062094,"INV",285,200,154,3,3,1353373,1217147
"38","10379-10228","NC_044062.1","10379",1779957,1799317,"10228",2757044,2830748,"INV",160,233,114,3,3,1050791,957727
"39","10379-10232","NC_044062.1","10379",1779957,1799317,"10232",2994562,3062094,"INV",160,200,60,3,3,1282137,1195245
"40","10395-10226","NC_044062.1","10395",2628519,2699147,"10226",2705869,2731049,"INV",173,131,131,3,3,102530,6722
"41","10395-10230","NC_044062.1","10395",2628519,2699147,"10230",2872082,2913501,"INV",173,179,90,3,3,284982,172935
"42","10396-10228","NC_044062.1","10396",2703953,2762148,"10228",2757044,2830748,"INV",195,233,138,3,3,126795,-5104
"43","10396-10229","NC_044062.1","10396",2703953,2762148,"10229",2835592,2865378,"INV",195,160,23,3,3,161425,73444
"44","10396-10231","NC_044062.1","10396",2703953,2762148,"10231",2927738,2992604,"INV",195,205,85,3,3,288651,165590
"45","10396-10232","NC_044062.1","10396",2703953,2762148,"10232",2994562,3062094,"INV",195,200,42,3,3,358141,232414
"46","10400-10231","NC_044062.1","10400",2873116,2895846,"10231",2927738,2992604,"INV",27,205,16,3,3,119488,31892
"47","10442-10360","NC_044062.1","10442",4287501,4312515,"10360",9245719,9256006,"INV",24,21,21,3,3,4968505,4933204
"48","10460-10278","NC_044062.1","10460",4945974,4958693,"10278",5519397,5533655,"INV",21,20,19,3,3,587681,560704
"49","10493-10297","NC_044062.1","10493",6312579,6329821,"10297",6317733,6328293,"INV",24,22,22,3,3,15714,-12088
"50","10504-10302","NC_044062.1","10504",6697925,6708505,"10302",6699323,6709846,"INV",24,24,24,3,3,11921,-9182
"51","10562-10350","NC_044062.1","10562",8658614,8669782,"10350",8645371,8669276,"INV",155,156,154,3,3,10662,-24411
"52","10565-10352","NC_044062.1","10565",8752918,8784620,"10352",8773635,8784790,"INV",174,59,59,3,3,31872,-10985
"53","10565-10354","NC_044062.1","10565",8752918,8784620,"10354",8829354,8872449,"INV",174,84,69,3,3,119531,44734
"54","10565-10362","NC_044062.1","10565",8752918,8784620,"10362",9280976,9378831,"INV",174,288,123,3,3,625913,496356
"55","10566-10354","NC_044062.1","10566",8789123,8858212,"10354",8829354,8872449,"INV",254,84,20,3,3,83326,-28858
"56","10566-10362","NC_044062.1","10566",8789123,8858212,"10362",9280976,9378831,"INV",254,288,251,3,3,589708,422764
"57","10567-10362","NC_044062.1","10567",8859959,8874188,"10362",9280976,9378831,"INV",74,288,74,3,3,518872,406788
"58","10570-10362","NC_044062.1","10570",8998793,9018874,"10362",9280976,9378831,"INV",45,288,45,3,3,380038,262102
"59","10577-10362","NC_044062.1","10577",9273441,9340349,"10362",9280976,9378831,"INV",245,288,245,3,3,105390,-59373
"60","10578-10362","NC_044062.1","10578",9340379,9353442,"10362",9280976,9378831,"INV",94,288,94,3,3,38452,-72466
"61","10579-10774","NC_044062.1","10579",9365544,9377028,"10774",23884707,23895885,"INV",59,57,57,3,3,14530341,14507679
"62","10610-10384","NC_044062.1","10610",10346145,10356580,"10384",10347725,10358755,"INV",21,21,21,3,3,12610,-8855
"63","10670-10457","NC_044062.1","10670",13066200,13087876,"10457",13072401,13095817,"INV",191,192,191,3,3,29617,-15475
"64","1068-956","NC_044049.1","1068",7966813,7988366,"956",7990407,8005742,"INV",94,96,93,3,3,38929,2041
"65","10707-10503","NC_044062.1","10707",14808918,14843671,"10503",14819660,14840629,"INV",63,62,62,3,3,31711,-24011
"66","10724-10522","NC_044062.1","10724",15588604,15605912,"10522",15635291,15650661,"INV",257,257,257,3,3,62057,29379
"67","10741-10541","NC_044062.1","10741",16321962,16335733,"10541",16307763,16339328,"INV",22,25,22,3,3,17366,-27970
"68","10744-10544","NC_044062.1","10744",16440456,16450952,"10544",16442889,16453435,"INV",38,38,38,3,3,12979,-8063
"69","10751-10805","NC_044062.1","10751",16755286,16773990,"10805",25148707,25159555,"INV",20,18,18,3,3,8404269,8374717
"70","10758-10563","NC_044062.1","10758",16960225,16970657,"10563",17013573,17029952,"INV",22,24,22,3,3,69727,42916
"71","10837-10872","NC_044062.1","10837",20286903,20299469,"10872",27723967,27734885,"INV",120,119,119,3,3,7447982,7424498
"72","10838-10796","NC_044062.1","10838",20310335,20321082,"10796",24680738,24691596,"INV",25,25,25,3,3,4381261,4359656
"73","10845-10669","NC_044062.1","10845",20590080,20601907,"10669",20802492,20828168,"INV",85,88,84,3,3,238088,200585
"74","10851-10861","NC_044062.1","10851",20813944,20828997,"10861",27229153,27247417,"INV",183,180,179,3,3,6433473,6400156
"75","10852-10878","NC_044062.1","10852",20832200,20853518,"10878",28009668,28026015,"INV",27,26,26,3,3,7193815,7156150
"76","10853-10877","NC_044062.1","10853",20871223,20882189,"10877",27990536,28008208,"INV",49,55,49,3,3,7136985,7108347
"77","10875-10735","NC_044062.1","10875",21886723,21898198,"10735",22752627,22763361,"INV",100,100,100,3,3,876638,854429
