"chromosome" "chr_num" "start_pos" "end_pos" "start_MB" "outlier_MDS1" "outlier_MDS2" "outlier_MDS3" "outlier_MDS4" "outlier_MDS5" "PCA_outlier" "PCAwindowID" "thisChromRow" "PCAwindowID_plot"
"1" "NC_044048.1" 1 268 333814 0 FALSE FALSE TRUE FALSE FALSE TRUE 1 1 NA
"2" "NC_044048.1" 1 333815 750073 0.33 FALSE FALSE TRUE FALSE FALSE TRUE 1 2 NA
"3" "NC_044048.1" 1 750074 1321791 0.75 FALSE TRUE TRUE FALSE FALSE TRUE 1 3 NA
"4" "NC_044048.1" 1 1321792 1652383 1.32 FALSE TRUE TRUE FALSE FALSE TRUE 1 4 1
"5" "NC_044048.1" 1 1652384 1828473 1.65 FALSE TRUE TRUE TRUE TRUE TRUE 1 5 NA
"6" "NC_044048.1" 1 1828474 2203291 1.83 FALSE TRUE FALSE TRUE TRUE TRUE 1 6 NA
"7" "NC_044048.1" 1 2203292 2509457 2.2 FALSE TRUE FALSE FALSE TRUE TRUE 1 7 NA
"8" "NC_044048.1" 1 2509458 2820023 2.51 FALSE TRUE FALSE FALSE TRUE TRUE 1 8 NA
"9" "NC_044048.1" 1 2820024 3151376 2.82 FALSE FALSE FALSE FALSE FALSE FALSE NA 9 NA
"10" "NC_044048.1" 1 3151377 3401444 3.15 FALSE FALSE FALSE FALSE FALSE FALSE NA 10 NA
"11" "NC_044048.1" 1 3401445 3668507 3.4 FALSE FALSE FALSE FALSE FALSE FALSE NA 11 NA
"12" "NC_044048.1" 1 3668508 3863358 3.67 FALSE FALSE FALSE FALSE FALSE FALSE NA 12 NA
"13" "NC_044048.1" 1 3863359 4111948 3.86 FALSE FALSE FALSE FALSE FALSE FALSE NA 13 NA
"14" "NC_044048.1" 1 4111949 4340334 4.11 FALSE FALSE FALSE FALSE FALSE FALSE NA 14 NA
"15" "NC_044048.1" 1 4340335 4559001 4.34 FALSE FALSE FALSE FALSE FALSE FALSE NA 15 NA
"16" "NC_044048.1" 1 4559002 4724840 4.56 FALSE FALSE FALSE FALSE FALSE FALSE NA 16 NA
"17" "NC_044048.1" 1 4724841 4919798 4.72 FALSE FALSE FALSE FALSE FALSE FALSE NA 17 NA
"18" "NC_044048.1" 1 4919799 5141452 4.92 FALSE TRUE FALSE FALSE FALSE TRUE 2 18 2
"19" "NC_044048.1" 1 5141453 5304351 5.14 FALSE FALSE FALSE FALSE FALSE FALSE NA 19 NA
"20" "NC_044048.1" 1 5304352 5499604 5.3 FALSE FALSE FALSE FALSE FALSE FALSE NA 20 NA
"21" "NC_044048.1" 1 5499605 5699750 5.5 FALSE FALSE FALSE FALSE FALSE FALSE NA 21 NA
"22" "NC_044048.1" 1 5699751 5926452 5.7 FALSE FALSE FALSE FALSE FALSE FALSE NA 22 NA
"23" "NC_044048.1" 1 5926453 6109536 5.93 FALSE FALSE FALSE FALSE FALSE FALSE NA 23 NA
"24" "NC_044048.1" 1 6109537 6268455 6.11 FALSE FALSE FALSE FALSE FALSE FALSE NA 24 NA
"25" "NC_044048.1" 1 6268456 6562071 6.27 FALSE FALSE FALSE FALSE FALSE FALSE NA 25 NA
"26" "NC_044048.1" 1 6562072 6755439 6.56 FALSE FALSE FALSE FALSE FALSE FALSE NA 26 NA
"27" "NC_044048.1" 1 6755440 6974473 6.76 FALSE FALSE FALSE FALSE FALSE FALSE NA 27 NA
"28" "NC_044048.1" 1 6974474 7343781 6.97 FALSE TRUE FALSE TRUE TRUE TRUE 3 28 3
"29" "NC_044048.1" 1 7343782 7697451 7.34 FALSE TRUE FALSE TRUE TRUE TRUE 3 29 NA
"30" "NC_044048.1" 1 7697452 7952615 7.7 FALSE FALSE FALSE FALSE FALSE FALSE NA 30 NA
"31" "NC_044048.1" 1 7952616 8165726 7.95 FALSE FALSE FALSE FALSE FALSE FALSE NA 31 NA
"32" "NC_044048.1" 1 8165727 8327312 8.17 FALSE FALSE FALSE FALSE FALSE FALSE NA 32 NA
"33" "NC_044048.1" 1 8327313 8667812 8.33 FALSE FALSE FALSE FALSE FALSE FALSE NA 33 NA
"34" "NC_044048.1" 1 8667813 8930892 8.67 FALSE FALSE FALSE FALSE FALSE FALSE NA 34 NA
"35" "NC_044048.1" 1 8930893 9134212 8.93 FALSE FALSE FALSE FALSE FALSE FALSE NA 35 NA
"36" "NC_044048.1" 1 9134213 9494632 9.13 FALSE FALSE FALSE FALSE FALSE FALSE NA 36 NA
"37" "NC_044048.1" 1 9494633 9698038 9.49 FALSE TRUE FALSE FALSE FALSE TRUE 4 37 4
"38" "NC_044048.1" 1 9698039 9898975 9.7 FALSE FALSE FALSE FALSE FALSE FALSE NA 38 NA
"39" "NC_044048.1" 1 9898976 10135847 9.9 FALSE FALSE FALSE FALSE FALSE FALSE NA 39 NA
