"","chrom","ConsensusID","n_calls_group","n_programs_group","n_PASS_group","n_ind_group","start_plus_CI_group","start_minus_CI_group","end_plus_CI_group","end_minus_CI_group","pass"
"1","NC_044048.1",1,2,2,0,1,191239,0,9724280,9342953,FALSE
"2","NC_044048.1",2,3,3,0,1,80386,0,2677694,2573538,FALSE
"3","NC_044048.1",3,1,1,0,1,161666,0,6829637,6562919,FALSE
"4","NC_044048.1",4,14,1,0,14,225838,0,5653811,5432773,FALSE
"5","NC_044048.1",5,4,3,1,2,46197,45579,46549,45931,FALSE
"6","NC_044048.1",6,5,2,0,3,46065,46031,46882,46848,FALSE
"7","NC_044048.1",7,2,2,0,1,261069,0,19121984,18721977,FALSE
"8","NC_044048.1",8,2,1,0,2,77023,66517,316700,306194,FALSE
"9","NC_044048.1",9,3,2,0,2,453980,0,18031039,17297220,FALSE
"10","NC_044048.1",10,1,1,0,1,497152,97152,25777752,25377752,FALSE
"11","NC_044048.1",11,1,1,0,1,533595,132873,21771538,21370816,FALSE
"12","NC_044048.1",12,1,1,0,1,402819,401783,409503,408467,FALSE
"13","NC_044048.1",13,4,1,0,4,607726,254476,9417500,9064231,FALSE
"14","NC_044048.1",14,34,3,1,32,924232,540992,5640553,5379552,TRUE
"15","NC_044048.1",15,7,3,1,3,789215,508612,7781129,7500557,FALSE
"16","NC_044048.1",16,3,2,0,2,1115077,472079,20873426,20315645,FALSE
"17","NC_044048.1",17,1,1,0,1,825474,588612,6729115,6492253,FALSE
"18","NC_044048.1",18,2,1,0,2,777864,777812,779154,779102,FALSE
"19","NC_044048.1",19,2,1,0,2,777950,777907,779005,778962,FALSE
"20","NC_044048.1",20,16,2,0,5,1099926,699884,26813226,26411751,FALSE
"21","NC_044048.1",21,1,1,0,1,982504,890956,3254420,3162872,FALSE
"22","NC_044048.1",22,3,1,0,3,1171813,771111,23407985,23007203,FALSE
"23","NC_044048.1",23,12,3,1,5,1058095,1057075,1067079,1066030,FALSE
"24","NC_044048.1",24,355,3,90,138,1059118,1057765,1065378,1064009,TRUE
"25","NC_044048.1",25,4,2,2,2,1063289,1063249,1064247,1064207,FALSE
"26","NC_044048.1",26,4,2,1,2,1064231,1064143,1066446,1066358,FALSE
"27","NC_044048.1",27,9,3,2,4,1066615,1065809,1067052,1066246,FALSE
"28","NC_044048.1",28,18,2,0,15,1263992,934964,9489700,9160672,FALSE
"29","NC_044048.1",29,3,3,0,1,1266156,1264844,1281932,1280620,FALSE
"30","NC_044048.1",30,1,1,0,1,1565294,1164564,21106602,20705872,FALSE
"31","NC_044048.1",31,1,1,0,1,1498671,1230985,8190833,7923147,FALSE
"32","NC_044048.1",32,2,2,0,1,1602810,1202810,20704166,20304166,FALSE
"33","NC_044048.1",33,16,3,2,16,1683875,1336913,5626216,5460370,TRUE
"34","NC_044048.1",34,2,2,0,1,1653538,1253538,24807358,24407358,FALSE
"35","NC_044048.1",35,4,2,2,3,1670532,1269841,14966551,14565853,FALSE
"36","NC_044048.1",36,1,1,0,1,1671532,1270960,22822540,22421968,FALSE
"37","NC_044048.1",37,4,3,0,3,1676006,1275160,19803727,19402881,FALSE
"38","NC_044048.1",38,2,2,0,1,1520422,1520405,1520722,1520705,FALSE
"39","NC_044048.1",39,1,1,0,1,1574221,1471284,4147400,4044463,FALSE
"40","NC_044048.1",40,1,1,0,1,1742243,1342243,23584299,23184299,FALSE
"41","NC_044048.1",41,2,2,0,1,1742270,1342265,21652355,21252350,FALSE
"42","NC_044048.1",42,1,1,0,1,1742356,1426804,9631165,9315613,FALSE
"43","NC_044048.1",43,1,1,0,1,1595286,1595230,1596682,1596626,FALSE
"44","NC_044048.1",44,1,1,0,1,1669011,1532099,5091707,4954795,FALSE
"45","NC_044048.1",45,7,1,0,7,1865803,1468799,11790921,11393912,FALSE
"46","NC_044048.1",46,1,1,0,1,1750453,1717205,2560904,2527656,FALSE
"47","NC_044048.1",47,6,1,0,6,1847346,1695542,5619185,5467417,FALSE
"48","NC_044048.1",48,62,3,12,29,1777169,1775489,1798221,1796494,TRUE
"49","NC_044048.1",49,4,3,1,2,1781238,1780467,1783629,1782836,FALSE
"50","NC_044048.1",50,1,1,0,1,1899511,1735976,5987869,5824334,FALSE
"51","NC_044048.1",51,1,1,0,1,2120410,1720410,14077746,13677746,FALSE
"52","NC_044048.1",52,1,1,0,1,1943583,1941325,1999992,1997734,FALSE
"53","NC_044048.1",53,3,2,0,3,2078934,1897636,5629999,5472496,FALSE
"54","NC_044048.1",54,2,2,0,1,1995614,1945883,3228525,3178794,FALSE
"55","NC_044048.1",55,1,1,0,1,2184605,1784605,12440635,12040635,FALSE
"56","NC_044048.1",56,2,2,0,1,2208188,1808188,24067734,23667734,FALSE
"57","NC_044048.1",57,1,1,0,1,2208228,1808227,28128710,27728709,FALSE
"58","NC_044048.1",58,2,2,0,1,2208562,1808557,28792974,28392969,FALSE
"59","NC_044048.1",59,1,1,0,1,2226951,1826951,17316788,16916788,FALSE
"60","NC_044048.1",60,1,1,0,1,2267221,1866593,18693561,18292933,FALSE
"61","NC_044048.1",61,1,1,0,1,2268929,1868849,13082097,12682017,FALSE
"62","NC_044048.1",62,1,1,0,1,2298116,1898109,20640579,20240572,FALSE
"63","NC_044048.1",63,1,1,0,1,2300438,1900427,16325385,15925374,FALSE
"64","NC_044048.1",64,1,1,0,1,2300490,1900490,15053728,14653728,FALSE
"65","NC_044048.1",65,4,3,0,2,2397973,1928158,25605134,24867898,FALSE
"66","NC_044048.1",66,1,1,0,1,2341605,1941604,23046764,22646763,FALSE
"67","NC_044048.1",67,2,2,0,2,2265276,2104576,5611230,5475864,FALSE
"68","NC_044048.1",68,8,2,4,2,2182213,2182050,2185052,2184928,FALSE
"69","NC_044048.1",69,3,2,0,3,2719384,1982735,21479200,20746697,FALSE
"70","NC_044048.1",70,1,1,0,1,2195666,2194922,2196384,2195640,FALSE
"71","NC_044048.1",71,2,2,0,1,2431250,2031250,29772320,29372320,FALSE
"72","NC_044048.1",72,86,3,20,70,2248452,2246814,2257080,2255779,TRUE
"73","NC_044048.1",73,23,2,4,21,2248372,2247258,2253419,2252160,TRUE
"74","NC_044048.1",74,1,1,0,1,2360492,2180934,6849422,6669864,FALSE
"75","NC_044048.1",75,1,1,0,1,2279498,2278932,2280082,2279516,FALSE
"76","NC_044048.1",76,2,2,0,1,2481079,2081073,22502557,22102551,FALSE
"77","NC_044048.1",77,4,1,0,4,2299106,2272591,2941906,2915418,FALSE
"78","NC_044048.1",78,1,1,0,1,2308808,2276568,3093766,3061526,FALSE
"79","NC_044048.1",79,6,3,0,5,2805951,2165132,13532264,13083840,FALSE
"80","NC_044048.1",80,15,3,1,14,2565216,2328608,5606660,5479940,FALSE
"81","NC_044048.1",81,3,2,0,2,2429669,2421586,2631598,2623515,FALSE
"82","NC_044048.1",82,1,1,0,1,2645224,2245224,23978547,23578547,FALSE
"83","NC_044048.1",83,222,3,67,119,2483795,2446480,3377544,3340254,TRUE
"84","NC_044048.1",84,3,2,0,3,2702874,2276361,17843765,17097606,FALSE
"85","NC_044048.1",85,3,3,0,1,2607025,2436339,6855431,6684745,FALSE
"86","NC_044048.1",86,1,1,0,1,2690529,2366426,10793094,10468991,FALSE
"87","NC_044048.1",87,1,1,0,1,2739091,2338321,30190577,29789807,FALSE
"88","NC_044048.1",88,3,3,0,1,2549338,2548688,2550664,2550014,FALSE
"89","NC_044048.1",89,1,1,0,1,2794801,2394801,18554917,18154917,FALSE
"90","NC_044048.1",90,1,1,0,1,2739753,2463332,9650085,9373664,FALSE
"91","NC_044048.1",91,13,3,3,9,2616474,2612931,2685459,2681946,FALSE
"92","NC_044048.1",92,1,1,0,1,2614351,2614341,2614625,2614615,FALSE
"93","NC_044048.1",93,3,2,0,3,3585336,2451265,23925468,22816121,FALSE
"94","NC_044048.1",94,3,2,0,2,2736534,2621976,5600485,5485926,FALSE
"95","NC_044048.1",95,1,1,0,1,2914717,2514717,20721257,20321257,FALSE
"96","NC_044048.1",96,2,1,0,2,2725669,2724695,2727814,2726840,FALSE
"97","NC_044048.1",97,2,2,0,1,2837583,2644395,7667288,7474100,FALSE
"98","NC_044048.1",98,1,1,0,1,2959465,2558773,15946716,15546024,FALSE
"99","NC_044048.1",99,4,2,0,4,2983977,2736852,5598610,5487748,FALSE
"100","NC_044048.1",100,3,3,0,2,3166595,2712009,9329367,8909430,FALSE
"101","NC_044048.1",101,3,2,0,3,3096953,2696023,19713011,19312081,FALSE
"102","NC_044048.1",102,1,1,0,1,2964807,2945905,3421206,3402304,FALSE
"103","NC_044048.1",103,232,3,20,173,3658887,2774421,25517104,24522949,TRUE
"104","NC_044048.1",104,1,1,0,1,3183519,2782935,28443756,28043172,FALSE
"105","NC_044048.1",105,5,3,0,4,3063308,2787188,5597262,5489182,FALSE
"106","NC_044048.1",106,1,1,0,1,3118435,2901011,8554038,8336614,FALSE
"107","NC_044048.1",107,2,2,0,1,3233952,2860796,12562864,12189708,FALSE
"108","NC_044048.1",108,2,1,0,2,3129862,3001352,6319310,6190800,FALSE
"109","NC_044048.1",109,1,1,0,1,3088837,3088831,3089001,3088995,FALSE
"110","NC_044048.1",110,3,3,1,1,3123849,3123519,3127117,3126787,FALSE
"111","NC_044048.1",111,1,1,0,1,3347091,2946239,13639549,13238697,FALSE
"112","NC_044048.1",112,1,1,0,1,3169775,3169680,3170172,3169757,FALSE
"113","NC_044048.1",113,1,1,0,1,3304069,3211845,5589412,5497188,FALSE
"114","NC_044048.1",114,1,1,0,1,3289825,3235603,4631178,4576956,FALSE
"115","NC_044048.1",115,4,2,0,3,4214323,3065575,16668896,16131500,FALSE
"116","NC_044048.1",116,214,3,29,108,3279155,3272951,3409977,3403823,TRUE
"117","NC_044048.1",117,3,1,0,3,3298978,3293956,3424514,3419492,FALSE
"118","NC_044048.1",118,3,3,1,1,3512362,3111724,27352836,26952198,FALSE
"119","NC_044048.1",119,5,3,0,2,3317336,3316940,3320016,3319556,FALSE
"120","NC_044048.1",120,6,1,0,6,3334351,3330439,3411092,3407180,FALSE
"121","NC_044048.1",121,165,3,35,42,3352130,3351192,3352488,3351549,TRUE
"122","NC_044048.1",122,7,3,0,5,3523474,3332261,5586764,5499840,FALSE
"123","NC_044048.1",123,17,3,1,9,4038558,3206556,19345554,18544989,FALSE
"124","NC_044048.1",124,2,1,0,2,3438751,3437881,3439322,3438452,FALSE
"125","NC_044048.1",125,2,1,0,2,3674571,3273879,24342603,23941911,FALSE
"126","NC_044048.1",126,1,1,0,1,3480282,3480156,3483431,3483305,FALSE
"127","NC_044048.1",127,1,1,0,1,3578140,3382511,8468222,8272593,FALSE
"128","NC_044048.1",128,1,1,0,1,3695023,3295023,29053726,28653726,FALSE
"129","NC_044048.1",129,2,2,0,1,3648506,3348226,11155522,10855242,FALSE
"130","NC_044048.1",130,1,1,0,1,3504464,3493490,3778837,3767863,FALSE
"131","NC_044048.1",131,55,3,6,45,3673828,3371866,5585798,5500646,TRUE
"132","NC_044048.1",132,1,1,0,1,3719852,3319852,22229055,21829055,FALSE
"133","NC_044048.1",133,5,3,1,3,3524787,3524299,3526956,3526468,FALSE
"134","NC_044048.1",134,183,3,18,150,3837623,2858087,25563794,24522949,TRUE
"135","NC_044048.1",135,5,2,0,3,4348228,3331227,18445931,17109282,FALSE
"136","NC_044048.1",136,1,1,0,1,3736930,3336930,26761884,26361884,FALSE
"137","NC_044048.1",137,2,2,0,1,3644408,3434356,8895700,8685648,FALSE
"138","NC_044048.1",138,1,1,0,1,3781647,3381571,25994854,25594778,FALSE
"139","NC_044048.1",139,11,3,3,9,4238714,3428665,11945983,11225923,FALSE
"140","NC_044048.1",140,3,3,0,1,3595542,3594518,3599819,3598795,FALSE
"141","NC_044048.1",141,5,3,1,1,3603869,3603191,3604343,3603665,FALSE
"142","NC_044048.1",142,2,2,0,1,3803918,3403918,30130161,29730161,FALSE
"143","NC_044048.1",143,1,1,0,1,3662757,3554065,6380052,6271360,FALSE
"144","NC_044048.1",144,8,3,0,6,4329118,3422176,13195362,12203228,FALSE
"145","NC_044048.1",145,7,2,0,7,4306268,3437286,14650649,13530222,FALSE
"146","NC_044048.1",146,2,2,0,2,3707522,3574278,7020582,6887338,FALSE
"147","NC_044048.1",147,36,3,12,9,3653436,3652311,3654347,3653107,FALSE
"148","NC_044048.1",148,29,3,3,26,3806462,3495218,5583789,5502811,TRUE
"149","NC_044048.1",149,1,1,0,1,3893004,3492986,17286837,16886819,FALSE
"150","NC_044048.1",150,6,2,0,4,4333212,3571498,20490867,19913658,FALSE
"151","NC_044048.1",151,3,3,0,1,3796839,3795159,3817883,3816203,FALSE
"152","NC_044048.1",152,5,3,0,1,3811378,3810512,3812241,3811375,FALSE
"153","NC_044048.1",153,4,3,0,2,3837704,3837170,3838216,3837682,FALSE
"154","NC_044048.1",154,1,1,0,1,4043627,3643627,23802557,23402557,FALSE
"155","NC_044048.1",155,2,1,0,2,4319966,3647755,27233097,26789731,FALSE
"156","NC_044048.1",156,1,1,0,1,3983191,3712389,10753259,10482457,FALSE
"157","NC_044048.1",157,1,1,0,1,3873835,3873829,3874004,3873998,FALSE
"158","NC_044048.1",158,19,2,2,11,3893910,3893906,3894013,3894009,FALSE
"159","NC_044048.1",159,12,3,0,4,3901092,3900018,3903982,3902855,FALSE
"160","NC_044048.1",160,8,3,0,6,4735458,3259840,19483589,18386818,FALSE
"161","NC_044048.1",161,16,3,0,12,4057925,3884500,5576246,5510354,FALSE
"162","NC_044048.1",162,5,1,0,5,4748655,3517812,14780753,13884077,FALSE
"163","NC_044048.1",163,2,2,0,1,4185696,3785692,21972635,21572631,FALSE
"164","NC_044048.1",164,3,3,0,2,4241875,3922625,9930012,9482756,FALSE
"165","NC_044048.1",165,32,3,1,25,4142542,3887056,5576246,5510354,TRUE
"166","NC_044048.1",166,1,1,0,1,4201512,3872088,12437096,12107672,FALSE
"167","NC_044048.1",167,25,3,0,13,4071307,4062480,4272135,4256063,FALSE
"168","NC_044048.1",168,5,3,0,3,4625973,3873140,25923963,25017594,FALSE
"169","NC_044048.1",169,3,1,0,3,4076967,4073692,4138327,4135059,FALSE
"170","NC_044048.1",170,1,1,0,1,4081738,4081634,4084339,4084235,FALSE
"171","NC_044048.1",171,6,2,0,5,4702747,3892542,22643968,21982133,FALSE
"172","NC_044048.1",172,1,1,0,1,4116992,4074687,5174328,5132023,FALSE
"173","NC_044048.1",173,2,1,0,2,4544577,3905068,21531830,20857686,FALSE
"174","NC_044048.1",174,1,1,0,1,4305626,3905595,30733800,30333769,FALSE
"175","NC_044048.1",175,1,1,0,1,4312920,3912920,30235596,29835596,FALSE
"176","NC_044048.1",176,1,1,0,1,4129485,4129359,4132561,4132435,FALSE
"177","NC_044048.1",177,1,1,0,1,4329935,3929871,29045743,28645679,FALSE
"178","NC_044048.1",178,1,1,0,1,4181671,4083221,6625724,6527274,FALSE
"179","NC_044048.1",179,1,1,0,1,4332752,3932748,26466055,26066051,FALSE
"180","NC_044048.1",180,1,1,0,1,4146290,4146176,4149131,4149017,FALSE
"181","NC_044048.1",181,3,1,0,3,4518298,3948886,16191450,15443854,FALSE
"182","NC_044048.1",182,33,3,1,25,4221277,4007624,5573490,5513105,TRUE
"183","NC_044048.1",183,10,2,0,7,4174340,4174252,4176550,4176461,FALSE
"184","NC_044048.1",184,3,3,2,1,4231516,4230354,4241203,4240041,FALSE
"185","NC_044048.1",185,7,3,4,3,4240492,4239806,4240822,4240136,FALSE
"186","NC_044048.1",186,4,2,0,4,4343437,4226294,5569457,5517119,FALSE
"187","NC_044048.1",187,16,3,1,8,4358328,4238092,7342024,7221788,FALSE
"188","NC_044048.1",188,2,2,0,1,4300877,4300835,4301926,4301884,FALSE
"189","NC_044048.1",189,2,2,0,1,4300897,4300859,4301859,4301821,FALSE
"190","NC_044048.1",190,4,1,0,4,4334945,4333424,4372956,4371435,FALSE
"191","NC_044048.1",191,7,3,0,6,4421691,4267531,5568797,5517803,FALSE
"192","NC_044048.1",192,12,3,1,8,4361274,4359866,4373271,4371863,FALSE
"193","NC_044048.1",193,1,1,0,1,4575213,4175213,24843633,24443633,FALSE
"194","NC_044048.1",194,10,3,1,7,5162620,4199470,23516516,22508276,FALSE
"195","NC_044048.1",195,13,3,0,8,4502296,4340895,5566772,5519621,FALSE
"196","NC_044048.1",196,1,1,0,1,4427830,4427824,4427960,4427954,FALSE
"197","NC_044048.1",197,3,1,0,3,4466429,4466365,4468030,4467966,FALSE
"198","NC_044048.1",198,1,1,0,1,4584758,4401505,9165915,8982662,FALSE
"199","NC_044048.1",199,2,2,0,1,4500361,4500329,4501145,4501113,FALSE
"200","NC_044048.1",200,1,1,0,1,4520940,4520776,4525040,4524876,FALSE
"201","NC_044048.1",201,1,1,0,1,4735089,4335070,28541297,28141278,FALSE
"202","NC_044048.1",202,16,1,1,16,4537333,4537321,4537586,4537574,FALSE
"203","NC_044048.1",203,4,1,0,2,4542611,4542441,4545335,4545185,FALSE
"204","NC_044048.1",204,1,1,0,1,4684348,4402384,11733445,11451481,FALSE
"205","NC_044048.1",205,4,2,1,3,4557128,4557120,4557324,4557316,FALSE
"206","NC_044048.1",206,5,2,0,5,4612407,4556627,5562949,5523617,FALSE
"207","NC_044048.1",207,47,3,1,26,4635088,4526139,7336338,7227416,TRUE
"208","NC_044048.1",208,1,1,0,1,4586795,4586782,4587010,4586997,FALSE
"209","NC_044048.1",209,5,3,1,4,5316501,4398361,27901377,27191880,FALSE
"210","NC_044048.1",210,5,2,2,3,4605809,4605801,4606026,4606018,FALSE
"211","NC_044048.1",211,4,2,0,2,4606175,4606169,4606329,4606323,FALSE
"212","NC_044048.1",212,5,1,1,5,4642262,4617149,5246286,5221196,FALSE
"213","NC_044048.1",213,7,1,0,7,4665798,4647928,5085002,5067132,FALSE
"214","NC_044048.1",214,1,1,0,1,4686286,4651310,5560711,5525735,FALSE
"215","NC_044048.1",215,1,1,0,1,4920354,4519464,16495691,16094801,FALSE
"216","NC_044048.1",216,1,1,0,1,4760388,4727884,5559550,5527046,FALSE
"217","NC_044048.1",217,1,1,0,1,4977849,4577849,16983627,16583627,FALSE
"218","NC_044048.1",218,3,2,0,3,4842433,4813309,5557862,5528738,FALSE
"219","NC_044048.1",219,3,3,1,1,4830176,4829880,4833415,4833119,FALSE
"220","NC_044048.1",220,1,1,0,1,5037448,4637448,24808727,24408727,FALSE
"221","NC_044048.1",221,18,3,2,6,4856643,4855679,4861875,4860685,FALSE
"222","NC_044048.1",222,4,3,1,3,5316501,4670797,27591880,26574299,FALSE
"223","NC_044048.1",223,2,1,0,2,5344094,4751240,13153400,12626336,FALSE
"224","NC_044048.1",224,4,1,0,4,4971856,4923464,5555953,5530639,FALSE
"225","NC_044048.1",225,1,1,0,1,4936496,4936458,4937332,4937294,FALSE
"226","NC_044048.1",226,1,1,0,1,5071727,4805575,11725539,11459387,FALSE
"227","NC_044048.1",227,1,1,0,1,4972987,4972974,4973241,4973228,FALSE
"228","NC_044048.1",228,1,1,0,1,5024699,4943682,7050118,6969101,FALSE
"229","NC_044048.1",229,3,1,0,3,4992180,4992168,4992472,4992460,FALSE
"230","NC_044048.1",230,2,1,1,2,4992237,4992229,4992461,4992453,FALSE
"231","NC_044048.1",231,17,3,3,5,5002085,5001064,5005350,5004344,FALSE
"232","NC_044048.1",232,4,3,0,4,5039134,4993611,5554263,5532327,FALSE
"233","NC_044048.1",233,121,3,40,51,5009587,5008147,5026623,5025183,TRUE
"234","NC_044048.1",234,1,1,0,1,5211395,4811394,25649861,25249860,FALSE
"235","NC_044048.1",235,1,1,0,1,5211488,4811470,18753150,18353132,FALSE
"236","NC_044048.1",236,1,1,0,1,5226860,4826444,20313877,19913461,FALSE
"237","NC_044048.1",237,1,1,0,1,5134437,4925692,10352967,10144222,FALSE
"238","NC_044048.1",238,2,2,0,1,5089485,5070965,5552468,5533948,FALSE
"239","NC_044048.1",239,75,3,9,60,5307973,4963395,12453780,11758880,TRUE
"240","NC_044048.1",240,1,1,0,1,5127243,5109473,5552185,5534415,FALSE
"241","NC_044048.1",241,205,3,6,123,5743832,4925531,24200339,22864856,TRUE
"242","NC_044048.1",242,1,1,0,1,5126131,5126125,5126301,5126295,FALSE
"243","NC_044048.1",243,3,3,0,1,5165288,5164476,5167392,5166580,FALSE
"244","NC_044048.1",244,207,3,12,125,5743791,4577849,16983627,15130775,TRUE
"245","NC_044048.1",245,10,3,0,6,5197024,5195995,5197367,5196427,FALSE
"246","NC_044048.1",246,1,1,0,1,5214409,5200989,5549918,5536498,FALSE
"247","NC_044048.1",247,5,2,0,3,5231485,5231475,5231747,5231737,FALSE
"248","NC_044048.1",248,7,3,0,4,5304608,5283241,5548835,5537761,FALSE
"249","NC_044048.1",249,328,3,10,168,6128831,4811394,25796226,23829453,TRUE
"250","NC_044048.1",250,14,3,0,9,5322821,5285468,5548835,5537761,FALSE
"251","NC_044048.1",251,314,3,17,169,5761998,4762620,23348326,21425046,TRUE
"252","NC_044048.1",252,1,1,0,1,5355169,5346739,5547515,5539085,FALSE
"253","NC_044048.1",253,61,3,3,32,5361557,5354247,5518637,5511360,TRUE
"254","NC_044048.1",254,5,2,0,3,5381211,5381199,5381501,5381489,FALSE
"255","NC_044048.1",255,3,3,0,1,5432406,5412592,5908006,5888192,FALSE
"256","NC_044048.1",256,1,1,0,1,5430471,5430467,5430581,5430577,FALSE
"257","NC_044048.1",257,346,3,40,180,6153199,5245310,29901205,28095767,TRUE
"258","NC_044048.1",258,6,3,1,2,5458225,5457349,5460535,5459659,FALSE
"259","NC_044048.1",259,1,1,0,1,5458637,5457907,5459626,5458896,FALSE
"260","NC_044048.1",260,34,3,3,25,5588391,5424835,7823246,7611157,TRUE
"261","NC_044048.1",261,163,3,5,113,6016979,5359865,14078831,12566747,TRUE
"262","NC_044048.1",262,7,3,0,4,5566066,5495578,6691335,6601737,FALSE
"263","NC_044048.1",263,307,3,10,163,5886675,5342738,20549892,18702703,TRUE
"264","NC_044048.1",264,29,1,2,29,5544405,5542197,5571842,5569634,FALSE
"265","NC_044048.1",265,274,3,7,151,5743791,5342777,18174223,16321967,TRUE
"266","NC_044048.1",266,138,3,3,83,5743772,5342785,27700854,26027142,TRUE
"267","NC_044048.1",267,166,3,2,102,6128831,5342795,26743016,25114447,TRUE
"268","NC_044048.1",268,141,3,1,88,5785426,5410996,12268048,11274887,TRUE
"269","NC_044048.1",269,179,3,8,122,5740164,5425829,11509825,10577520,TRUE
"270","NC_044048.1",270,233,3,3,127,6016979,5395515,13075970,11743453,TRUE
"271","NC_044048.1",271,185,3,2,115,5637876,5448726,10345011,9532946,TRUE
"272","NC_044048.1",272,242,3,8,139,6423339,5342817,21656775,19694659,TRUE
"273","NC_044048.1",273,93,3,0,70,6131407,5342826,28957546,27040185,FALSE
"274","NC_044048.1",274,98,3,2,64,5626848,5459770,9786565,9099746,TRUE
"275","NC_044048.1",275,7,3,0,5,5556059,5530543,6170531,6124046,FALSE
"276","NC_044048.1",276,68,3,0,50,5850699,5362142,14765840,13321283,FALSE
"277","NC_044048.1",277,204,3,1,126,5886675,5342793,19478134,17509931,TRUE
"278","NC_044048.1",278,348,3,18,167,5887465,5342833,22494016,20533214,TRUE
"279","NC_044048.1",279,405,3,20,195,5743760,5342842,31073710,29447478,TRUE
"280","NC_044048.1",280,65,3,0,48,5616165,5470425,9245486,8709186,FALSE
"281","NC_044048.1",281,10,1,0,9,5554075,5532517,6069840,6043355,FALSE
"282","NC_044048.1",282,44,3,0,35,5601187,5485415,8488808,8038168,FALSE
"283","NC_044048.1",283,47,3,1,33,5597243,5489351,8273226,7897789,TRUE
"284","NC_044048.1",284,153,3,5,109,5740164,5435989,10995531,10085592,TRUE
"285","NC_044048.1",285,212,3,3,115,5743732,5342844,15881655,14059510,TRUE
"286","NC_044048.1",286,3,2,0,3,5550688,5535914,5900600,5881297,FALSE
"287","NC_044048.1",287,1,1,0,1,5554637,5531955,6099435,6076753,FALSE
"288","NC_044048.1",288,16,3,0,14,5569815,5516787,6873283,6805919,FALSE
"289","NC_044048.1",289,2,1,0,2,5559601,5527001,6352531,6319931,FALSE
"290","NC_044048.1",290,373,3,8,184,5839367,5118272,24988049,23026331,TRUE
