"PCAwindowID" "start" "end" "chromosome" "chr_num"
"1" 1 268 2820023 "NC_044048.1" 1
"2" 2 4919799 5141452 "NC_044048.1" 1
"3" 3 6974474 7697451 "NC_044048.1" 1
"4" 4 9494633 9698038 "NC_044048.1" 1
"5" 5 10135848 10429119 "NC_044048.1" 1
"6" 6 11064526 28828695 "NC_044048.1" 1
"7" 7 29555532 30346282 "NC_044048.1" 1
"8" 8 884 241371 "NC_044049.1" 2
"9" 9 436764 4475015 "NC_044049.1" 2
"10" 10 4749355 5084438 "NC_044049.1" 2
"11" 11 6212941 6692211 "NC_044049.1" 2
"12" 12 7744439 8317067 "NC_044049.1" 2
"13" 13 8750100 9237022 "NC_044049.1" 2
"14" 14 9629250 9835957 "NC_044049.1" 2
"15" 15 17549601 20733865 "NC_044049.1" 2
"16" 16 22406132 23078359 "NC_044049.1" 2
"17" 17 24493153 25195253 "NC_044049.1" 2
"18" 18 27968579 28199161 "NC_044049.1" 2
"19" 19 23365 1994167 "NC_044050.1" 3
"20" 20 2231016 2706890 "NC_044050.1" 3
"21" 21 3141414 3432207 "NC_044050.1" 3
"22" 22 3663324 4043916 "NC_044050.1" 3
"23" 23 5594539 5846258 "NC_044050.1" 3
"24" 24 10146111 11141887 "NC_044050.1" 3
"25" 25 13151863 13350761 "NC_044050.1" 3
"26" 26 15324512 15574723 "NC_044050.1" 3
"27" 27 16762405 17208288 "NC_044050.1" 3
"28" 28 21374498 21606659 "NC_044050.1" 3
"29" 29 25881697 26215805 "NC_044050.1" 3
"30" 30 28013063 28255816 "NC_044050.1" 3
"31" 31 29140555 29312469 "NC_044050.1" 3
"32" 32 29930820 30204740 "NC_044050.1" 3
"33" 33 21935591 24819415 "NC_044051.1" 4
"34" 34 25324332 27351688 "NC_044051.1" 4
"35" 35 28291951 29339504 "NC_044051.1" 4
"36" 36 31142928 31413220 "NC_044051.1" 4
"37" 37 5290 1591268 "NC_044052.1" 5
"38" 38 1890379 3317511 "NC_044052.1" 5
"39" 39 4761593 5252628 "NC_044052.1" 5
"40" 40 10494325 10725204 "NC_044052.1" 5
"41" 41 12466550 12715240 "NC_044052.1" 5
"42" 42 14294390 14889089 "NC_044052.1" 5
"43" 43 18241692 18488395 "NC_044052.1" 5
"44" 44 19216331 19705794 "NC_044052.1" 5
"45" 45 22078595 22210864 "NC_044052.1" 5
"46" 46 22584941 23409392 "NC_044052.1" 5
"47" 47 581769 1437826 "NC_044053.1" 6
"48" 48 1639339 1807791 "NC_044053.1" 6
"49" 49 2355378 2873735 "NC_044053.1" 6
"50" 50 3241060 4017211 "NC_044053.1" 6
"51" 51 12275140 12432435 "NC_044053.1" 6
"52" 52 13722670 13940942 "NC_044053.1" 6
"53" 53 21109152 21272741 "NC_044053.1" 6
"54" 54 21637388 21842687 "NC_044053.1" 6
"55" 55 24160860 25841458 "NC_044053.1" 6
"56" 56 26050547 26261160 "NC_044053.1" 6
"57" 57 67159 2050308 "NC_044054.1" 7
"58" 58 6321885 7182884 "NC_044054.1" 7
"59" 59 8280315 8457845 "NC_044054.1" 7
"60" 60 8756060 8916065 "NC_044054.1" 7
"61" 61 9083165 9662434 "NC_044054.1" 7
"62" 62 12055646 12263808 "NC_044054.1" 7
"63" 63 12610911 12849003 "NC_044054.1" 7
"64" 64 13765408 13926199 "NC_044054.1" 7
"65" 65 14675841 15029234 "NC_044054.1" 7
"66" 66 15290642 15549461 "NC_044054.1" 7
"67" 67 16120084 26854568 "NC_044054.1" 7
"68" 68 32794993 33759022 "NC_044054.1" 7
"69" 69 14841 820235 "NC_044055.1" 8
"70" 70 7714804 7971246 "NC_044055.1" 8
"71" 71 9685535 9879625 "NC_044055.1" 8
"72" 72 10134963 10432133 "NC_044055.1" 8
"73" 73 12501850 12826223 "NC_044055.1" 8
"74" 74 15570702 15787517 "NC_044055.1" 8
"75" 75 16015926 16549901 "NC_044055.1" 8
"76" 76 16753164 17115724 "NC_044055.1" 8
"77" 77 22638002 23105989 "NC_044055.1" 8
"78" 78 25182395 26494224 "NC_044055.1" 8
"79" 79 26953861 27486662 "NC_044055.1" 8
"80" 80 27712333 29390317 "NC_044055.1" 8
"81" 81 19520 962305 "NC_044056.1" 9
"82" 82 1651042 2260592 "NC_044056.1" 9
"83" 83 3111469 3494150 "NC_044056.1" 9
"84" 84 5486246 5720280 "NC_044056.1" 9
"85" 85 15890819 16340528 "NC_044056.1" 9
"86" 86 17356689 17574060 "NC_044056.1" 9
"87" 87 18638604 19370733 "NC_044056.1" 9
"88" 88 21448153 21730122 "NC_044056.1" 9
"89" 89 21960879 22141220 "NC_044056.1" 9
"90" 90 23133136 23613855 "NC_044056.1" 9
"91" 91 23912166 24215139 "NC_044056.1" 9
"92" 92 24752763 26298942 "NC_044056.1" 9
"93" 93 25491 1141268 "NC_044057.1" 10
"94" 94 3708182 3848643 "NC_044057.1" 10
"95" 95 4615068 4810613 "NC_044057.1" 10
"96" 96 8284195 12196073 "NC_044057.1" 10
"97" 97 14824845 15433903 "NC_044057.1" 10
"98" 98 16848923 17126309 "NC_044057.1" 10
"99" 99 17650016 17937432 "NC_044057.1" 10
"100" 100 23352342 23555351 "NC_044057.1" 10
"101" 101 26625081 27170630 "NC_044057.1" 10
"102" 102 486 2622226 "NC_044058.1" 11
"103" 103 2951967 3524412 "NC_044058.1" 11
"104" 104 7447919 7817765 "NC_044058.1" 11
"105" 105 10266896 10506851 "NC_044058.1" 11
"106" 106 11693395 11923853 "NC_044058.1" 11
"107" 107 16340395 16732113 "NC_044058.1" 11
"108" 108 20616022 20861279 "NC_044058.1" 11
"109" 109 23800551 23907587 "NC_044058.1" 11
"110" 110 28150445 28420468 "NC_044058.1" 11
"111" 111 290637 17892869 "NC_044059.1" 12
"112" 112 18690603 19296425 "NC_044059.1" 12
"113" 113 19533962 19781181 "NC_044059.1" 12
"114" 114 20933414 21167650 "NC_044059.1" 12
"115" 115 27971667 28283748 "NC_044059.1" 12
"116" 116 10683 1205434 "NC_044060.1" 13
"117" 117 2345458 2684582 "NC_044060.1" 13
"118" 118 12212950 12430226 "NC_044060.1" 13
"119" 119 18241494 18444460 "NC_044060.1" 13
"120" 120 21275547 24697643 "NC_044060.1" 13
"121" 121 24943273 26964293 "NC_044060.1" 13
"122" 122 22483 284830 "NC_044061.1" 14
"123" 123 542479 2050158 "NC_044061.1" 14
"124" 124 4443839 4635751 "NC_044061.1" 14
"125" 125 7475033 7833838 "NC_044061.1" 14
"126" 126 8477402 8805384 "NC_044061.1" 14
"127" 127 14697716 15104130 "NC_044061.1" 14
"128" 128 20751234 20927596 "NC_044061.1" 14
"129" 129 22059455 22182414 "NC_044061.1" 14
"130" 130 24621689 24829653 "NC_044061.1" 14
"131" 131 26245967 26676890 "NC_044061.1" 14
"132" 132 26899468 29503404 "NC_044061.1" 14
"133" 133 2475096 3079022 "NC_044062.1" 15
"134" 134 4628544 5083032 "NC_044062.1" 15
"135" 135 8430903 9386640 "NC_044062.1" 15
"136" 136 12365798 12849724 "NC_044062.1" 15
"137" 137 20397239 21042556 "NC_044062.1" 15
"138" 138 23593494 23889094 "NC_044062.1" 15
"139" 139 24119491 24465880 "NC_044062.1" 15
"140" 140 25546435 25811125 "NC_044062.1" 15
"141" 141 26047531 28328414 "NC_044062.1" 15
"142" 142 659700 1737065 "NC_044063.1" 16
"143" 143 2329046 2864501 "NC_044063.1" 16
"144" 144 9567280 10000827 "NC_044063.1" 16
"145" 145 11659068 12621155 "NC_044063.1" 16
"146" 146 13886322 14094231 "NC_044063.1" 16
"147" 147 27044499 29628938 "NC_044063.1" 16
"148" 148 33204400 33373949 "NC_044063.1" 16
"149" 149 33798935 34133396 "NC_044063.1" 16
"150" 150 1045293 1568074 "NC_044064.1" 17
"151" 151 13823760 13992252 "NC_044064.1" 17
"152" 152 16026653 18731696 "NC_044064.1" 17
"153" 153 20224507 20596811 "NC_044064.1" 17
"154" 154 1454596 1858679 "NC_044065.1" 18
"155" 155 4561074 4803781 "NC_044065.1" 18
"156" 156 5635783 6156536 "NC_044065.1" 18
"157" 157 8207857 8404352 "NC_044065.1" 18
"158" 158 9967837 10305352 "NC_044065.1" 18
"159" 159 11222439 11648479 "NC_044065.1" 18
"160" 160 17473076 17640753 "NC_044065.1" 18
"161" 161 19003777 19697788 "NC_044065.1" 18
"162" 162 20695106 20876496 "NC_044065.1" 18
"163" 163 21415293 22700928 "NC_044065.1" 18
"164" 164 23052765 24823375 "NC_044065.1" 18
"165" 165 719 2122509 "NC_044066.1" 19
"166" 166 3868642 4465390 "NC_044066.1" 19
"167" 167 4839173 4961015 "NC_044066.1" 19
"168" 168 7357129 7502519 "NC_044066.1" 19
"169" 169 9461510 10023236 "NC_044066.1" 19
"170" 170 10830025 11012964 "NC_044066.1" 19
"171" 171 13954163 14134266 "NC_044066.1" 19
"172" 172 14464691 14803850 "NC_044066.1" 19
"173" 173 15576731 15689617 "NC_044066.1" 19
"174" 174 20852323 21318880 "NC_044066.1" 19
"175" 175 19760 767956 "NC_044067.1" 20
"176" 176 1043736 1614425 "NC_044067.1" 20
"177" 177 9836529 10060033 "NC_044067.1" 20
"178" 178 17524089 17946018 "NC_044067.1" 20
"179" 179 19021965 19185509 "NC_044067.1" 20
"180" 180 20320832 20521328 "NC_044067.1" 20
"181" 181 22040331 24519449 "NC_044067.1" 20
"182" 182 858680 1105647 "NC_044068.1" 21
"183" 183 2350116 2681280 "NC_044068.1" 21
"184" 184 3168562 3732065 "NC_044068.1" 21
"185" 185 11761536 12039956 "NC_044068.1" 21
"186" 186 17200943 17596959 "NC_044068.1" 21
"187" 187 18566016 18835562 "NC_044068.1" 21
"188" 188 19625091 22169457 "NC_044068.1" 21
"189" 189 12401 370784 "NC_044069.1" 22
"190" 190 634402 1309942 "NC_044069.1" 22
"191" 191 1784130 2662801 "NC_044069.1" 22
"192" 192 2810775 3811670 "NC_044069.1" 22
"193" 193 5703661 5903092 "NC_044069.1" 22
"194" 194 9088219 9223553 "NC_044069.1" 22
"195" 195 12038373 12257841 "NC_044069.1" 22
"196" 196 13357006 13796572 "NC_044069.1" 22
"197" 197 18307827 18464795 "NC_044069.1" 22
"198" 198 4252 1942898 "NC_044070.1" 23
"199" 199 2217275 2455485 "NC_044070.1" 23
"200" 200 2710005 3239279 "NC_044070.1" 23
"201" 201 6963795 7106338 "NC_044070.1" 23
"202" 202 7924510 8526885 "NC_044070.1" 23
"203" 203 9982140 10149652 "NC_044070.1" 23
"204" 204 17866879 18232407 "NC_044070.1" 23
"205" 205 19159097 21207134 "NC_044070.1" 23
